theta(degree),Height(m),v0(m/s),t(s),x(m),label,label2
37,2.1,12,1.707,16.359,,
47,2.1,12,1.99,16.29,,
36,2.1,12,1.676,16.276,,
48,2.1,12,2.017,16.196,,
35,2.1,12,1.646,16.18,,
49,2.1,12,2.043,16.084,,
34,2.1,12,1.615,16.072,,
50,2.1,12,2.068,15.951,,
33,2.1,12,1.584,15.946,,
32,2.1,12,1.553,15.809,,
31,2.1,12,1.522,15.66,,
30,2.1,12,1.491,15.495,,
41,2.1,11,1.706,14.163,,
42,2.1,11,1.731,14.154,,
40,2.1,11,1.679,14.152,,
43,2.1,11,1.757,14.139,,
39,2.1,11,1.653,14.135,,
44,2.1,11,1.782,14.104,,
38,2.1,11,1.626,14.099,,
45,2.1,11,1.807,14.059,,
37,2.1,11,1.599,14.052,,
46,2.1,11,1.832,13.999,,
36,2.1,11,1.572,13.994,,
47,2.1,11,1.856,13.924,,
35,2.1,11,1.545,13.921,,
34,2.1,11,1.517,13.839,,
48,2.1,11,1.88,13.838,,
33,2.1,11,1.489,13.741,,
49,2.1,11,1.903,13.733,,
32,2.1,11,1.461,13.634,,
50,2.1,11,1.926,13.618,,
31,2.1,11,1.433,13.516,,
30,2.1,11,1.405,13.389,,
40,2.1,10,1.566,11.996,,
41,2.1,10,1.589,11.992,,
39,2.1,10,1.542,11.984,,
42,2.1,10,1.612,11.979,,
38,2.1,10,1.518,11.966,,
43,2.1,10,1.635,11.958,,
37,2.1,10,1.494,11.936,,
44,2.1,10,1.657,11.923,,
36,2.1,10,1.47,11.893,,
45,2.1,10,1.68,11.879,,
35,2.1,10,1.445,11.841,,
46,2.1,10,1.701,11.82,,
34,2.1,10,1.421,11.781,,
47,2.1,10,1.723,11.754,,
33,2.1,10,1.396,11.712,,
48,2.1,10,1.744,11.673,,
32,2.1,10,1.371,11.631,,
49,2.1,10,1.765,11.583,,
31,2.1,10,1.346,11.542,,
50,2.1,10,1.786,11.48,,
30,2.1,10,1.321,11.445,,
39,2.1,9,1.433,10.026,,
40,2.1,9,1.454,10.024,,
38,2.1,9,1.412,10.018,,
41,2.1,9,1.474,10.015,,
42,2.1,9,1.495,9.999,,
37,2.1,9,1.391,9.998,,
36,2.1,9,1.37,9.975,,
43,2.1,9,1.515,9.972,,
35,2.1,9,1.348,9.942,,
44,2.1,9,1.535,9.938,,
34,2.1,9,1.327,9.901,,
45,2.1,9,1.554,9.893,,
33,2.1,9,1.305,9.85,,
46,2.1,9,1.574,9.841,,
32,2.1,9,1.283,9.792,,
47,2.1,9,1.593,9.778,,
31,2.1,9,1.261,9.732,,
48,2.1,9,1.611,9.705,,
30,2.1,9,1.239,9.661,,
49,2.1,9,1.63,9.624,,
50,2.1,9,1.648,9.537,,
43,2,14,2.126,21.768,1,
42,2,14,2.092,21.765,,
44,2,14,2.159,21.748,,
41,2,14,2.057,21.739,,
45,2,14,2.192,21.705,,
40,2,14,2.023,21.696,,
46,2,14,2.224,21.634,,
39,2,14,1.988,21.63,,
47,2,14,2.256,21.545,,
38,2,14,1.952,21.535,,
48,2,14,2.288,21.434,,
37,2,14,1.916,21.428,,
49,2,14,2.319,21.3,,
36,2,14,1.88,21.293,,
35,2,14,1.843,21.141,,
50,2,14,2.349,21.139,,
34,2,14,1.806,20.967,,
33,2,14,1.769,20.776,,
32,2,14,1.732,20.563,,
31,2,14,1.694,20.329,,
30,2,14,1.656,20.084,,
42,2,13,1.967,19.003,,
43,2,13,1.998,18.996,,
41,2,13,1.935,18.99,,
44,2,13,2.029,18.974,,
40,2,13,1.903,18.956,,
45,2,13,2.059,18.927,,
39,2,13,1.871,18.903,,
46,2,13,2.089,18.865,,
38,2,13,1.838,18.834,,
47,2,13,2.118,18.783,,
37,2,13,1.805,18.745,,
48,2,13,2.147,18.676,,
36,2,13,1.772,18.637,,
49,2,13,2.175,18.554,,
35,2,13,1.738,18.513,,
50,2,13,2.203,18.413,,
34,2,13,1.705,18.376,,
33,2,13,1.67,18.213,,
32,2,13,1.636,18.042,,
31,2,13,1.602,17.851,,
30,2,13,1.567,17.642,,
42,2,12,1.843,16.44,,
41,2,12,1.814,16.433,,
43,2,12,1.871,16.425,,
40,2,12,1.785,16.413,,
44,2,12,1.899,16.397,,
39,2,12,1.756,16.376,,
45,2,12,1.927,16.355,,
38,2,12,1.726,16.321,,
46,2,12,1.954,16.293,,
37,2,12,1.696,16.254,,
47,2,12,1.981,16.217,,
36,2,12,1.666,16.174,,
48,2,12,2.008,16.123,,
35,2,12,1.635,16.077,,
49,2,12,2.033,16.009,,
34,2,12,1.604,15.962,,
50,2,12,2.059,15.882,,
33,2,12,1.573,15.836,,
32,2,12,1.542,15.697,,
31,2,12,1.511,15.542,,
30,2,12,1.479,15.375,,
41,2,11,1.695,14.076,,
42,2,11,1.721,14.073,,
40,2,11,1.669,14.064,,
43,2,11,1.747,14.054,,
39,2,11,1.642,14.041,,
44,2,11,1.772,14.025,,
38,2,11,1.615,14.003,,
45,2,11,1.797,13.977,,
37,2,11,1.588,13.955,,
46,2,11,1.822,13.922,,
36,2,11,1.561,13.892,,
47,2,11,1.846,13.849,,
35,2,11,1.533,13.818,,
48,2,11,1.87,13.764,,
34,2,11,1.506,13.734,,
49,2,11,1.893,13.665,,
33,2,11,1.478,13.635,,
50,2,11,1.916,13.551,,
32,2,11,1.45,13.526,,
31,2,11,1.421,13.403,,
30,2,11,1.393,13.27,,
41,2,10,1.578,11.909,,
40,2,10,1.554,11.908,,
39,2,10,1.531,11.898,,
42,2,10,1.601,11.898,,
43,2,10,1.624,11.877,,
38,2,10,1.507,11.875,,
44,2,10,1.646,11.844,,
37,2,10,1.482,11.84,,
45,2,10,1.669,11.802,,
36,2,10,1.458,11.8,,
46,2,10,1.691,11.747,,
35,2,10,1.433,11.743,,
47,2,10,1.713,11.683,,
34,2,10,1.409,11.681,,
33,2,10,1.384,11.607,,
48,2,10,1.734,11.603,,
32,2,10,1.359,11.525,,
49,2,10,1.755,11.514,,
31,2,10,1.334,11.435,,
50,2,10,1.776,11.416,,
30,2,10,1.308,11.332,,
39,2,9,1.421,9.942,,
40,2,9,1.442,9.942,,
41,2,9,1.463,9.937,,
38,2,9,1.4,9.929,,
42,2,9,1.483,9.922,,
37,2,9,1.379,9.912,,
43,2,9,1.503,9.896,,
36,2,9,1.357,9.884,,
44,2,9,1.523,9.863,,
35,2,9,1.336,9.849,,
45,2,9,1.543,9.82,,
34,2,9,1.314,9.804,,
46,2,9,1.562,9.769,,
33,2,9,1.292,9.756,,
47,2,9,1.582,9.71,,
32,2,9,1.27,9.697,,
48,2,9,1.6,9.638,,
31,2,9,1.248,9.632,,
49,2,9,1.619,9.559,,
30,2,9,1.226,9.556,,
50,2,9,1.637,9.473,,
43,1.9,14,2.117,21.676,1,
42,1.9,14,2.083,21.672,,
44,1.9,14,2.15,21.657,,
41,1.9,14,2.048,21.644,,
45,1.9,14,2.183,21.616,,
40,1.9,14,2.013,21.594,,
46,1.9,14,2.216,21.551,,
39,1.9,14,1.978,21.526,,
47,1.9,14,2.248,21.464,,
38,1.9,14,1.942,21.43,,
48,1.9,14,2.279,21.354,,
37,1.9,14,1.906,21.316,,
49,1.9,14,2.31,21.222,,
36,1.9,14,1.87,21.18,,
50,1.9,14,2.341,21.067,,
35,1.9,14,1.833,21.027,,
34,1.9,14,1.796,20.851,,
33,1.9,14,1.759,20.653,,
32,1.9,14,1.721,20.439,,
31,1.9,14,1.683,20.203,,
30,1.9,14,1.645,19.951,,
42,1.9,13,1.957,18.911,,
43,1.9,13,1.988,18.906,,
41,1.9,13,1.926,18.896,,
44,1.9,13,2.019,18.885,,
40,1.9,13,1.893,18.857,,
45,1.9,13,2.05,18.844,,
39,1.9,13,1.861,18.807,,
46,1.9,13,2.08,18.784,,
38,1.9,13,1.828,18.731,,
47,1.9,13,2.109,18.703,,
37,1.9,13,1.795,18.641,,
48,1.9,13,2.138,18.602,,
36,1.9,13,1.762,18.531,,
